r2,rmse,mae,spearman,pearson,n_samples,drug_id
0.11796855926513672,0.053757131825581006,0.03960947319865227,0.35442389758179227,0.35691547,75,59
0.10491275787353516,0.058141372711481155,0.04309261962771416,0.2893752656183595,0.37134674,181,1050
0.09335899353027344,0.06816773117817093,0.046364009380340576,0.31152196055433806,0.32143503,180,330
0.09319227933883667,0.03377729332202029,0.0249884482473135,0.26972456640964926,0.32142687,181,1030
0.0843203067779541,0.11073847264916488,0.0833183154463768,0.30756025514790875,0.3778716,141,1370
0.08255386352539062,0.11415185661591842,0.08063659816980362,0.2956730065072291,0.34287193,179,257
0.07842683792114258,0.10874700777826282,0.06946700811386108,0.26280533462853906,0.31915367,181,1008
0.07432550191879272,0.17364003688857174,0.11270353198051453,0.28091002220357764,0.34599966,173,431
0.07341039180755615,0.12880241662658604,0.08696078509092331,0.2740924403155274,0.29253772,179,222
0.0717882513999939,0.13203025907787933,0.07745872437953949,0.17589463496119806,0.31053504,175,428
0.07115280628204346,0.12449973179580533,0.09428464621305466,0.29433720717575274,0.3650331,163,1368
0.07041352987289429,0.14970149025613258,0.11281284689903259,0.17872773851044785,0.2964641,180,300
0.07039880752563477,0.1736468377043296,0.12113815546035767,0.30644974248054907,0.32185677,178,301
0.06908702850341797,0.11757051737940682,0.061841435730457306,0.20352462051092182,0.3565697,74,127
0.06897294521331787,0.16593954362526794,0.10456196963787079,0.23204637484287408,0.3003826,172,226
0.06754434108734131,0.13105910275294416,0.08039895445108414,0.21860597439544804,0.31180975,75,5
0.06546950340270996,0.09417802732468725,0.041838955134153366,0.06983992066864994,0.34320697,181,1009
0.06491947174072266,0.14314463823220536,0.07713554799556732,0.212765826105744,0.29485172,180,326
0.06261157989501953,0.031883211448494396,0.024367066100239754,0.2050739648065616,0.25439525,179,1038
0.06220585107803345,0.056715324077704334,0.04101432487368584,0.15016307087667313,0.25626674,180,265
0.061946094036102295,0.06897616736121398,0.04370531067252159,0.20907023879337838,0.25714925,180,329
0.061228394508361816,0.1253961083588777,0.08747664839029312,0.14560709727365934,0.2864864,179,275
0.05779212713241577,0.05961777797207103,0.03898991644382477,0.0030441127654017115,0.29121011,175,1218
0.050318360328674316,0.09458896140317768,0.06211559474468231,0.24713739299374657,0.2605254,181,1422
0.04966622591018677,0.12055274258720124,0.068539559841156,0.16483594230840104,0.27313614,178,155
0.047532081604003906,0.08406616265000325,0.04641423001885414,0.10109430251292029,0.26114357,179,249
0.04694926738739014,0.11016381589460057,0.06792181730270386,0.10855273310904656,0.22665738,180,261
0.046102941036224365,0.11711615536448516,0.08667585998773575,0.290280116332466,0.34404507,140,1369
0.04368811845779419,0.06556067947682034,0.04581849277019501,0.22025371153430662,0.22552939,180,309
0.04342806339263916,0.0529823499601664,0.035764552652835846,0.20812898965441343,0.25369477,176,435
0.04307103157043457,0.08677142203966276,0.05936194956302643,0.29156294902151253,0.33902767,181,1037
0.041194021701812744,0.05728040682980613,0.03554162383079529,0.2320277028016655,0.32185885,179,376
0.03924548625946045,0.05441113446306841,0.028369421139359474,0.05524250259010318,0.2737081,180,1437
0.03899955749511719,0.13176895842016187,0.09456807374954224,0.19336722951059776,0.26729572,179,225
0.0388336181640625,0.059752116515468925,0.046568743884563446,0.11826690550828484,0.23905507,175,175
0.037916481494903564,0.13511395702266407,0.10767239332199097,0.28520974359862195,0.30364272,177,208
0.03771364688873291,0.055711257736789935,0.03665945678949356,0.03612950137717878,0.20900227,177,1196
0.033081769943237305,0.12611894176269514,0.08917243033647537,0.20561334197557538,0.28387076,180,306
0.029919743537902832,0.05577127688741187,0.03547121211886406,0.06829840427173678,0.17822649,180,230
0.028678715229034424,0.12457809922722703,0.05462125688791275,0.17153992025095166,0.2960797,176,412
0.027806401252746582,0.17060677299153829,0.12219449132680893,0.27206258890469415,0.3017984,75,32
0.027493178844451904,0.11524087273333454,0.05331657454371452,0.068351013746783,0.21914707,179,238
0.026578009128570557,0.10723681114288788,0.0846649780869484,0.1438730285140493,0.21634094,177,176
0.025897562503814697,0.17733750731450104,0.12596775591373444,0.27692127906372815,0.38967562,177,1259
0.02557271718978882,0.04514781997787751,0.027393346652388573,0.19670439152370137,0.26171747,182,1433
0.02338355779647827,0.1354654083807787,0.08321724086999893,0.1556755866950626,0.23966736,180,260
0.02311939001083374,0.11075582554852488,0.06064474210143089,0.3269668816938794,0.24238199,180,1135
0.02230203151702881,0.04864804917764493,0.0357399508357048,0.18572348310655454,0.20573969,177,576
0.021789729595184326,0.0779538724174919,0.05118462070822716,0.18288845483322624,0.21503219,180,292
0.020821094512939453,0.07580678512063727,0.033228520303964615,0.10134880706194635,0.35490018,180,254
0.020370781421661377,0.039454032750592664,0.027319351211190224,0.06348755620029424,0.23494457,180,298
0.01814591884613037,0.056848866673347744,0.0364716537296772,0.07145192061277371,0.2283341,174,186
0.01658177375793457,0.13748011445255748,0.09837666898965836,0.264637904468413,0.31022167,177,1058
0.01577228307723999,0.08774144174355514,0.03591511771082878,0.24215990897183373,0.16819437,178,236
0.01092076301574707,0.056826692825606796,0.036768440157175064,0.15207678841776368,0.12163917,180,288
0.010187804698944092,0.1202777897628687,0.08254695683717728,0.3536898709015965,0.36465606,179,356
0.00982755422592163,0.1981404141919137,0.15573984384536743,0.3642975084873463,0.46663445,182,1459
0.009759664535522461,0.10090944431715196,0.07653411477804184,0.3391174624731216,0.40539536,180,1426
0.008513450622558594,0.03398694119136973,0.026890624314546585,0.13085990180456264,0.29862368,182,1017
0.008370518684387207,0.052044401171443676,0.036361921578645706,0.14570309001343487,0.20919028,175,1495
0.007379591464996338,0.06337706397131324,0.037736374884843826,0.0769982612632077,0.12044064,180,290
