r2,rmse,mae,spearman,pearson,n_samples,drug_id
0.5150221586227417,1.7710078733108732,1.329230785369873,0.7188963239272189,0.719294,174,1372
0.46311038732528687,1.323177141793824,0.9505394697189331,0.6910919397344737,0.69120204,169,1526
0.41985470056533813,1.422766353697523,1.0511610507965088,0.6298324128737385,0.66751784,177,1498
0.3946588635444641,1.6340110067139253,1.2469066381454468,0.4535075719394245,0.64416397,171,1373
0.35264819860458374,0.97357802012089,0.7721187472343445,0.6113300492610836,0.6170627,29,1204
0.34825146198272705,1.0612692717295218,0.8333396911621094,0.576068376068376,0.61343366,26,1145
0.34223657846450806,1.3993518759625865,1.0892674922943115,0.5907856146245621,0.64268214,174,1014
0.2905901074409485,1.6421869744355353,1.301876425743103,0.5619305788889205,0.587004,174,1060
0.28379160165786743,1.2967220813723597,1.0673021078109741,0.5196871268694472,0.57840115,181,1008
0.2792053818702698,1.5460443289299959,1.2387197017669678,0.523260595427381,0.534355,183,1392
0.2744777798652649,0.8487890031754777,0.6221435070037842,0.47696687728541204,0.52568144,178,333
0.2743067145347595,1.2311404377944182,0.960825502872467,0.5255386765213773,0.52990454,182,1007
0.26706600189208984,0.9359011049151815,0.6995097398757935,0.5650476595227976,0.5392149,181,1187
0.2569308876991272,1.79636674410018,1.4589799642562866,0.5065783776951244,0.52487427,182,1378
0.24740880727767944,0.8132951586850455,0.6426212787628174,0.43615132154284597,0.50789046,180,286
0.23658573627471924,1.5854053826082997,1.329434871673584,0.5283832189909538,0.5252178,182,1459
0.2315346598625183,0.6993932239929644,0.5440257787704468,0.4287004742944741,0.48956275,180,332
0.22983795404434204,1.3644327803786949,1.0956796407699585,0.49205370730673653,0.49038306,184,1494
0.22773563861846924,0.9345794007627756,0.7196817398071289,0.4730148766555772,0.4908789,179,376
0.2268269658088684,1.0916322642042833,0.8898900747299194,0.4725193774917531,0.47683808,181,1186
0.22445279359817505,1.9498045505484276,1.6568198204040527,0.5243011226062073,0.5044737,176,474
0.2212005853652954,2.681937738172366,2.3291852474212646,0.5626204238921002,0.57934976,172,1248
0.217576801776886,1.0545115571381276,0.8100326657295227,0.5162994580796351,0.48570922,179,407
0.2172566056251526,1.222996965898944,0.9739593267440796,0.46168058083819796,0.48003387,179,356
0.21723508834838867,1.0431866936013463,0.8680319786071777,0.4461536878710248,0.4999373,180,265
0.2140445113182068,1.3916475629732619,1.1344630718231201,0.5379310344827586,0.4765216,29,1202
0.21387970447540283,1.0677084884023167,0.9175307750701904,0.5021197446621176,0.49900478,176,435
0.21330809593200684,0.8340030283930109,0.5652639865875244,0.418415144177856,0.46261692,176,427
0.21310865879058838,0.6223692123487219,0.4717135429382324,0.48992075720889283,0.46957564,176,1375
0.210563063621521,0.9513033672205402,0.7674416303634644,0.4148861735131094,0.46336526,182,1005
0.21019375324249268,1.1643850404528648,0.878875732421875,0.4781210095040364,0.46843752,182,1393
0.20980912446975708,1.3784916067909085,1.0928287506103516,0.4785003652376102,0.47154418,180,1006
0.20723986625671387,1.6644558866917067,1.3342926502227783,0.45880167544569855,0.49493518,178,301
0.2063942551612854,1.0477374495544447,0.7903642654418945,0.42507279031245826,0.47126424,180,290
0.20514625310897827,1.5952197758762137,1.249269723892212,0.40266581993315753,0.47150645,173,431
0.20108693838119507,0.7463925147913979,0.5930030941963196,0.4880788501702727,0.4527986,180,345
0.20061594247817993,0.44135484986938484,0.3440468907356262,0.5231405776393749,0.49950144,178,409
0.20043706893920898,0.7505592804025792,0.5997675061225891,0.45806589027311784,0.45344046,182,1033
0.20039355754852295,1.118095615740765,0.8969557285308838,0.4547156805251191,0.4622433,180,309
0.20007282495498657,1.122501884577811,0.8904802203178406,0.436346800827186,0.44914773,180,1426
0.19568610191345215,0.4403534884627696,0.3502921760082245,0.4880603310801773,0.4974816,180,266
0.1918310523033142,1.2052808000719561,0.9388912916183472,0.4227690247525788,0.44658506,179,1004
0.19016367197036743,1.844430765454892,1.5461421012878418,0.4795542289428713,0.47515076,182,1460
0.1894957423210144,1.5529272955280047,1.1900863647460938,0.3903112404836543,0.437755,175,428
0.18807929754257202,1.0483514423554932,0.837242603302002,0.452610214885025,0.44484088,179,264
0.1879526972770691,1.3884600385218446,1.120130181312561,0.47586257401711546,0.51203626,179,257
0.1857343316078186,0.8456428277278505,0.6819720268249512,0.4234834995635648,0.43358004,182,1017
0.18456411361694336,1.151988139482213,0.8604961633682251,0.4566005123614927,0.46394488,180,1371
