r2,rmse,mae,spearman,pearson,n_samples,drug_id
0.3698614239692688,2.0187268896522093,1.5446629524230957,0.6882166348700134,0.69264174,174,1372
0.318362832069397,1.265038766606202,0.97098708152771,0.5381053568898871,0.6645037,181,1008
0.2825363874435425,1.7360557454075949,1.4045747518539429,0.6311908361541547,0.64067394,182,1460
0.2736021876335144,1.3250990110867356,1.0698944330215454,0.6304790892103793,0.6044955,184,1494
0.2339361310005188,2.659918820712764,2.281909704208374,0.5363977897425375,0.52331334,172,1248
0.2312920093536377,1.590892623840915,1.2984753847122192,0.6278864691146187,0.6193427,182,1459
0.20208799839019775,2.2445224208107106,1.8443095684051514,0.4866428932152907,0.5148155,167,268
0.18353426456451416,0.4603218395945695,0.33811646699905396,0.4419370460048426,0.43691888,176,1262
0.18246644735336304,1.5776337718316256,1.3458977937698364,0.5442719425496672,0.5941857,180,252
0.18075567483901978,1.4653456171531551,1.1836682558059692,0.45867268324895444,0.51209307,176,219
0.17641842365264893,2.009279064302878,1.6973446607589722,0.4581840193704601,0.4682903,176,474
0.17107558250427246,1.9997667534240027,1.6617202758789062,0.5035703279771077,0.5496879,176,302
0.16285300254821777,1.783917821783307,1.4275699853897095,0.5443583245536604,0.5464146,174,1060
0.15322870016098022,1.646493352863275,1.1982862949371338,0.42979683031182353,0.59585047,173,431
0.14977902173995972,1.3325912327694,1.0856369733810425,0.5301966396975907,0.5155341,182,1007
0.14792120456695557,1.1004500487142845,0.8134545683860779,0.47152721109785956,0.46157107,179,407
0.13869351148605347,0.9946204865389057,0.7837740778923035,0.31641453769380457,0.41235882,179,152
0.13628530502319336,2.228937749309166,1.8235605955123901,0.4255060456784595,0.4450892,175,346
0.12796318531036377,1.6509454099432086,1.1582263708114624,0.3082262047105935,0.47665522,172,226
0.1265382170677185,1.7054461838980688,1.4082974195480347,0.3930429951541714,0.43260628,180,1026
0.12499529123306274,2.0241245590903962,1.6303178071975708,0.5115830980866602,0.53026104,172,461
0.12208807468414307,1.4151675295646127,1.0639806985855103,0.3815940821218762,0.5064762,180,260
0.12114393711090088,1.0222465049812648,0.7989042401313782,0.3754272929125498,0.58335024,178,236
0.11867028474807739,1.4144378501153698,1.1165339946746826,0.4957661695723827,0.49916306,178,1016
0.11862581968307495,2.012862330451971,1.5460162162780762,0.42975692844885094,0.4464452,178,1490
0.11633163690567017,0.9728561257280427,0.5565729141235352,0.3958208586684774,0.4602319,180,254
0.1116061806678772,1.338657309834454,1.036543607711792,0.27034579256561414,0.40543896,180,306
0.10622179508209229,1.767324321924348,1.422317385673523,0.3955671119839903,0.47735074,178,301
0.10497391223907471,1.5067025482214924,1.1661887168884277,0.37429330655116855,0.4914157,179,303
0.10014915466308594,1.1905485474077657,0.9574820399284363,0.38476701955821685,0.36425564,180,1426
0.0999632477760315,0.9239578317313283,0.7556058168411255,0.44464129551323595,0.37332198,180,1419
0.09868496656417847,1.7126527314401836,1.417428731918335,0.5101573413960688,0.47290787,166,371
0.09618699550628662,1.2528836843202373,0.9671607613563538,0.20785889146946204,0.3609842,179,228
0.09497714042663574,1.664254620704236,1.2798786163330078,0.41812608540999724,0.44266203,179,196
0.09455913305282593,1.6039961026493965,1.224618911743164,0.33190736339598953,0.4919218,180,1011
0.09243327379226685,0.8561091007778695,0.45435503125190735,0.3825467864234493,0.34411368,180,277
0.09235203266143799,1.590666536939242,1.179230809211731,0.39172119487908963,0.39742237,75,5
0.08939677476882935,2.561395081282982,2.1936607360839844,0.3233699059561129,0.34087783,175,135
0.08915138244628906,1.38616351980097,1.0895473957061768,0.25306844098508147,0.3536108,179,225
