model,target,r2,rmse,mae,spearman,pearson,n_samples
RandomForest,IC50,0.14138339982601955,2.380376622751511,1.885075220711089,0.4244263565192698,0.5600501636677068,65386
XGBoost,IC50,0.7226275205612183,1.352937473050583,1.0501110553741455,0.8306100401753227,0.8641036748886108,65386
NeuralNetwork,IC50,0.7588436603546143,1.2615236775205638,0.9383158087730408,0.8411606059770268,0.8717491030693054,65386
RandomForest,AUC,0.10642510872726263,0.17898679967145079,0.13668306713509143,0.28469089230979744,0.5119960453743155,65386
XGBoost,AUC,0.5799860954284668,0.12271208099893281,0.08645738661289215,0.7384286555440605,0.7729925513267517,65386
NeuralNetwork,AUC,0.41185498237609863,0.1452104038054884,0.090020090341568,0.7178729397780037,0.7498672008514404,65386
